DISPLAY_NAME,TYPE,work_count
Max Planck Society,nonprofit,169201
Heidelberg University,funder,157820
Ludwig-Maximilians-Universität München,funder,124978
Technical University of Munich,funder,114768
Universität Hamburg,funder,105689
Charité - Universitätsmedizin Berlin,healthcare,91165
RWTH Aachen University,funder,88086
Goethe University Frankfurt,funder,83172
Friedrich-Alexander-Universität Erlangen-Nürnberg,funder,79256
Karlsruhe Institute of Technology,funder,74092
University of Tübingen,funder,73567
Technische Universität Dresden,funder,72507
University of Bonn,funder,72386
Johannes Gutenberg University Mainz,funder,68038
University of Göttingen,funder,66051
University of Freiburg,funder,65580
University of Cologne,funder,63017
Heinrich Heine University Düsseldorf,funder,62667
Freie Universität Berlin,funder,61115
Ruhr University Bochum,funder,61008
University of Münster,funder,58140
Humboldt-Universität zu Berlin,funder,57170
Technische Universität Berlin,funder,54445
University of Würzburg,funder,53244
University Hospital Heidelberg,healthcare,51659
Leipzig University,funder,50825
University of Stuttgart,funder,50716
Technical University of Darmstadt,funder,50129
Martin Luther University Halle-Wittenberg,education,48467
Medizinische Hochschule Hannover,funder,48357
University of Duisburg-Essen,funder,48184
Universität Ulm,funder,44292
Philipps University of Marburg,funder,43519
Kiel University,funder,42992
Friedrich Schiller University Jena,funder,42501
Justus-Liebig-Universität Gießen,funder,41061
University of Bremen,funder,39983
University Medical Center Hamburg-Eppendorf,healthcare,39930
Saarland University,funder,39425
Leibniz University Hannover,funder,37592
University of Regensburg,funder,37443
Forschungszentrum Jülich,funder,37423
University of Lübeck,funder,36354
German Cancer Research Center,funder,35614
TU Dortmund University,funder,35017
University of Rostock,funder,32467
Deutsches Zentrum für Luft- und Raumfahrt e. V. (DLR),funder,31583
Bielefeld University,funder,31333
Otto-von-Guericke University Magdeburg,funder,31035
Technische Universität Braunschweig,funder,30874
University of Potsdam,funder,29587
IZA - Institute of Labor Economics,nonprofit,25098
University Medical Center Freiburg,healthcare,24565
University of Bayreuth,education,23948
University of Konstanz,funder,23927
University of Kaiserslautern,funder,22661
Chemnitz University of Technology,funder,20283
Siemens (Germany),funder,19575
University of Mannheim,funder,19463
Paderborn University,funder,19345
Carl von Ossietzky Universität Oldenburg,funder,19169
Klinikum rechts der Isar,healthcare,18905
Helmholtz Zentrum München,funder,17692
University of Kassel,funder,17689
University Hospital Schleswig-Holstein,healthcare,17644
LMU Klinikum,healthcare,17539
University Hospital Münster,healthcare,16957
Universität Greifswald,funder,16732
University of Wuppertal,funder,16600
University of Hohenheim,funder,16523
Essen University Hospital,healthcare,16450
University of Siegen,funder,15836
München Klinik,healthcare,15279
Ifo Institute for Economic Research,facility,15248
Bayer (Germany),funder,15065
Universitätsklinikum Erlangen,healthcare,14489
Max Planck Institute for Plasma Physics,facility,13720
University of Augsburg,education,13697
University Hospital Cologne,healthcare,13595
Osnabrück University,funder,13561
Jena University Hospital,healthcare,13122
Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung,funder,12954
Max Planck Institute for Extraterrestrial Physics,facility,12936
Technische Universität Ilmenau,funder,12723
Helmholtz Centre for Environmental Research,funder,12282
University Hospital Bonn,healthcare,12210
Berlin Heart (Germany),company,12169
University Medical Center of the Johannes Gutenberg University Mainz,healthcare,12153
GFZ Helmholtz Centre for Geosciences,funder,12097
University Hospital Carl Gustav Carus,healthcare,11959
Universitätsmedizin Göttingen,healthcare,11829
Universitätsklinikum Aachen,healthcare,11732
Hamburg University of Technology,education,11663
TU Bergakademie Freiberg,funder,11403
Helmholtz-Zentrum Dresden-Rossendorf,funder,11116
University Hospital Regensburg,healthcare,11075
Witten/Herdecke University,education,11036
Düsseldorf University Hospital,healthcare,10790
Deutsches Elektronen-Synchrotron DESY,funder,10761
University Medical Centre Mannheim,healthcare,10709
University Hospital Ulm,healthcare,10293
University Hospital Frankfurt,healthcare,10269
Max Planck Institute for Human Cognitive and Brain Sciences,funder,10040
Max Planck Institute for Astronomy,facility,10013
Physikalisch-Technische Bundesanstalt,government,9907
University Hospital Leipzig,healthcare,9611
Universitätsklinikum Würzburg,healthcare,9431
Max Delbrück Center,facility,9270
Universität der Bundeswehr München,education,9232
Max Planck Institute for Polymer Research,funder,9218
European Southern Observatory,funder,9168
Max Planck Institute for Nuclear Physics,nonprofit,9165
Universität Trier,funder,8955
Universitätsmedizin Greifswald,healthcare,8816
Leibniz Institute for Solid State and Materials Research,facility,8719
Max Planck Institute for Solid State Research,facility,8693
Robert Koch Institute,government,8659
GSI Helmholtz Centre for Heavy Ion Research,funder,8595
Helmholtz-Zentrum Berlin für Materialien und Energie,funder,8578
Clausthal University of Technology,funder,8560
Max Planck Institute for Biological Cybernetics,facility,8481
Federal Institute For Materials Research and Testing,funder,8337
Constructor University,funder,8165
Fraunhofer Society,government,8134
"University of Veterinary Medicine Hannover, Foundation",funder,8128
GEOMAR Helmholtz Centre for Ocean Research Kiel,funder,7938
Brandenburg University of Technology Cottbus-Senftenberg,funder,7834
Max Planck Institute for Astrophysics,facility,7815
Max Planck Institute for Evolutionary Anthropology,funder,7682
FZI Research Center for Information Technology,nonprofit,7566
Max Planck Institute of Colloids and Interfaces,facility,7529
Max Planck Institute for Solar System Research,facility,7507
Robert Bosch (Germany),funder,7484
German Center for Neurodegenerative Diseases,funder,7446
Max Planck Institute for Gravitational Physics,facility,7428
University of Hagen,education,7371
